# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.6013999999996390e+03 -1.9914313256676827e+01 +0.0000000000000000e+00 +1.6012741422932488e+03 +1.8374106433732651e-21 +1.7086444517409343e-04 +1.6440615541550461e-19
1.6014999999996389e+03 -1.9915595053378230e+01 +0.0000000000000000e+00 +1.6013741340778975e+03 +5.3721017933832202e-22 +1.7083820586169922e-04 +1.8585870593889667e-19
1.6015999999996388e+03 -1.9916876849908927e+01 +0.0000000000000000e+00 +1.6014741258625484e+03 -7.6663486163299106e-22 +1.7081196654930499e-04 +2.0969872849790652e-19
1.6016999999996387e+03 -1.9918158646268942e+01 +0.0000000000000000e+00 +1.6015741176472013e+03 -2.0741244788114222e-21 +1.7078572723691081e-04 +2.3592622261572027e-19
1.6017999999996387e+03 -1.9919440442458306e+01 +0.0000000000000000e+00 +1.6016741094318566e+03 -3.3852586714741384e-21 +1.7075948792451661e-04 +2.6454118781575216e-19
1.6018999999996386e+03 -1.9920722238477040e+01 +0.0000000000000000e+00 +1.6017741012165138e+03 -4.7000374388921669e-21 +1.7073324861212243e-04 +2.9554362362137155e-19
1.6019999999996385e+03 -1.9922004034325173e+01 +0.0000000000000000e+00 +1.6018740930011734e+03 -6.0184607803427407e-21 +1.7070700929972828e-04 +3.2893352955618235e-19
1.6020999999996384e+03 -1.9923285830002733e+01 +0.0000000000000000e+00 +1.6019740847858352e+03 -7.3405286951004779e-21 +1.7068076998733410e-04 +3.6471090514384377e-19
1.6021999999996383e+03 -1.9924567625509745e+01 +0.0000000000000000e+00 +1.6020740765704991e+03 -7.6723740588234585e-21 +1.7065459211843050e-04 +3.5829353969317180e-19
1.6022999999996382e+03 -1.9925849420846234e+01 +0.0000000000000000e+00 +1.6021740683551652e+03 -7.6207010364025028e-21 +1.7062843574513882e-04 +3.3462073238622619e-19
1.6023999999996381e+03 -1.9927131216012224e+01 +0.0000000000000000e+00 +1.6022740601398334e+03 -7.5273321724182205e-21 +1.7060227937184722e-04 +3.0868690167318106e-19
1.6024999999996380e+03 -1.9928413011007745e+01 +0.0000000000000000e+00 +1.6023740519245039e+03 -7.3922674751886007e-21 +1.7057612299855560e-04 +2.8049204800514583e-19
1.6025999999996379e+03 -1.9929694805832824e+01 +0.0000000000000000e+00 +1.6024740437091766e+03 -7.2155069530300316e-21 +1.7054996662526395e-04 +2.5003617183320198e-19
