# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
7.1999999999999904e+00 -5.1868453597041109e-03 +0.0000000000000000e+00 +7.1999975098658773e+00 -1.4394241689406075e-03 +0.0000000000000000e+00 +9.9999896402849409e-01
7.2999999999999901e+00 -5.3317833332131173e-03 +0.0000000000000000e+00 +7.2999974048290897e+00 -1.4593346603484028e-03 +0.0000000000000000e+00 +9.9999893517060734e-01
7.3999999999999897e+00 -5.4787121635954047e-03 +0.0000000000000000e+00 +7.3999972968869745e+00 -1.4792413064045849e-03 +0.0000000000000000e+00 +9.9999890592197993e-01
7.4999999999999893e+00 -5.6276314663153207e-03 +0.0000000000000000e+00 +7.4999971860004688e+00 -1.4991441070993383e-03 +0.0000000000000000e+00 +9.9999887628284145e-01
7.5999999999999890e+00 -5.7785408568362317e-03 +0.0000000000000000e+00 +7.5999970721305337e+00 -1.5190430624228677e-03 +0.0000000000000000e+00 +9.9999884625342139e-01
7.6999999999999886e+00 -5.9314399506205278e-03 +0.0000000000000000e+00 +7.6999969552381513e+00 -1.5389381723653998e-03 +0.0000000000000000e+00 +9.9999881583394945e-01
7.7999999999999883e+00 -6.0863283631296203e-03 +0.0000000000000000e+00 +7.7999968352843290e+00 -1.5588294369171818e-03 +0.0000000000000000e+00 +9.9999878502465500e-01
7.8999999999999879e+00 -6.2432057098239478e-03 +0.0000000000000000e+00 +7.8999967122300960e+00 -1.5787168560684819e-03 +0.0000000000000000e+00 +9.9999875382576753e-01
7.9999999999999876e+00 -6.4020716061629771e-03 +0.0000000000000000e+00 +7.9999965860365041e+00 -1.5986004298095898e-03 +0.0000000000000000e+00 +9.9999872223751640e-01
8.0999999999999872e+00 -6.5629256541346421e-03 +0.0000000000000000e+00 +8.0999964566646501e+00 -1.6184797540093596e-03 +0.0000000000000000e+00 +9.9999869026078503e-01
8.1999999999999869e+00 -6.7257674018408858e-03 +0.0000000000000000e+00 +8.1999963240757427e+00 -1.6383544244948295e-03 +0.0000000000000000e+00 +9.9999865789648901e-01
8.2999999999999865e+00 -6.8905963839093008e-03 +0.0000000000000000e+00 +8.2999961882310380e+00 -1.6582244412510759e-03 +0.0000000000000000e+00 +9.9999862514490589e-01
8.3999999999999861e+00 -7.0574121349664494e-03 +0.0000000000000000e+00 +8.3999960490918237e+00 -1.6780898042677837e-03 +0.0000000000000000e+00 +9.9999859200631303e-01
8.4999999999999858e+00 -7.2262141896378626e-03 +0.0000000000000000e+00 +8.4999959066194108e+00 -1.6979505135346468e-03 +0.0000000000000000e+00 +9.9999855848098762e-01
8.5999999999999854e+00 -7.3970020825480411e-03 +0.0000000000000000e+00 +8.5999957607751405e+00 -1.7178065690413686e-03 +0.0000000000000000e+00 +9.9999852456920701e-01
